date,description,amount,category
2025-01-20,Whole Foods Market,127.45,Food
2025-01-19,Shell Gas Station,52.30,Transportation
2025-01-18,Starbucks Coffee,8.75,Food
2025-01-17,Amazon Purchase,89.99,Shopping
2025-01-16,Electric Bill,145.67,Utilities
2025-01-15,Netflix Subscription,15.99,Entertainment
2025-01-14,Uber Ride,23.50,Transportation
2025-01-13,Target Shopping,76.82,Shopping
2025-01-12,Restaurant Dinner,45.60,Food
2025-01-11,Gym Membership,39.99,Health
2025-01-10,Grocery Store,98.34,Food
2025-01-09,Gas Station,48.20,Transportation
2025-01-08,Coffee Shop,12.50,Food
2025-01-07,Online Shopping,156.78,Shopping
2025-01-06,Water Bill,34.50,Utilities
2025-01-05,Movie Theater,28.00,Entertainment
2025-01-04,Pharmacy,67.89,Health
2025-01-03,Fast Food,18.45,Food
2025-01-02,Parking Fee,15.00,Transportation
2025-01-01,New Year Dinner,125.00,Food
